Output,Output Tone/NAC,Channel Name,Mode,Comments
412.82500,,Fed 412.8250 A,FMN,Itinerant (Analog)
412.82500,,Fed 412.8250 D,P25,Itinerant (Digital)
412.83750,,Fed 412.8375 A,FMN,Itinerant (Analog)
412.83750,,Fed 412.8375 D,P25,Itinerant (Digital)
412.85000,,Fed 412.8500 A,FMN,Itinerant (Analog)
412.85000,,Fed 412.8500 D,P25,Itinerant (Digital)
412.86250,,Fed 412.8625 A,FMN,Itinerant (Analog)
412.86250,,Fed 412.8625 D,P25,Itinerant (Digital)
418.05000,,Fed 418.0500 A,FMN,Itinerant (Analog)
418.05000,,Fed 418.0500 D,P25,Itinerant (Digital)
418.33750,,Fed 418.3375 A,FMN,Itinerant (Analog)
418.33750,,Fed 418.3375 D,P25,Itinerant (Digital)
166.46250,,Fed LE Common,FMN,Federal Law Enforcement Common
163.7125,,Fed Local Common A,FMN,L2
167.1375,,Fed Local Common A,FMN,L3
168.6125,,Fed Local Common A,FMN,L1
173.6250,,Fed Local Common A,FMN,L R
407.5250,,Fed Local Common A,FMN,
409.0750,,Fed Local Common A,FMN,
412.8750,,Fed Local Common A,FMN,
412.8875,,Fed Local Common A,FMN,
412.9000,,Fed Local Common A,FMN,
412.9125,,Fed Local Common A,FMN,
416.5250,,Fed Local Common A,FMN,
418.0750,,Fed Local Common A,FMN,
163.7125,,Fed Local Common D,P25,L2
167.1375,,Fed Local Common D,P25,L3
168.6125,,Fed Local Common D,P25,L1
173.6250,,Fed Local Common D,P25,L R
407.5250,,Fed Local Common D,P25,
409.0750,,Fed Local Common D,P25,
412.8750,,Fed Local Common D,P25,
412.8875,,Fed Local Common D,P25,
412.9000,,Fed Local Common D,P25,
412.9125,,Fed Local Common D,P25,
416.5250,,Fed Local Common D,P25,
418.0750,,Fed Local Common D,P25,
408.4000,,Fed Wide Common A,FMN,
408.4000,,Fed Wide Common D,P25,
166.8875,$293,ICE,P25,
165.8250,$108,ICE A-4,P25,
165.8375,CSQ,ICE DHS ComA,FMN,Department of Homeland Security Common (Analog)
165.8375,$001,ICE DHS ComD,P25,Department of Homeland Security Common (Digital)
168.8250,$104,ICE LA-1,P25,
163.725,$169,ICE NAT DIRECT,P25,National Direct
171.25,$069,ICE NAT RPTR,P25,
163.7,$169,ICE NAT TAC 1,P25,National Tactical 1
168.5875,$169,ICE NAT TAC 2,P25,National Tactical 2
